researcher_id_a,researcher_id_b,window,joint_publication_count,first_joint_year,latest_joint_year,source,collected_at,run_id
A5008352862,A5017735770,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5100719073,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5083630059,all,5,2014,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5026459010,all,2,2015,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5049348377,all,1,2015,2015,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5100625452,all,3,2020,2020,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5114626485,all,1,2018,2018,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5008352862,A5052450087,all,7,2024,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009259352,A5056078856,all,5,2021,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009259352,A5060938154,all,15,2013,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009259352,A5009706510,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009259352,A5022724648,all,3,2022,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009259352,A5069469573,all,9,2021,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009259352,A5023527433,all,2,2022,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009706510,A5056078856,all,3,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009706510,A5022724648,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009706510,A5069469573,all,3,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5009706510,A5060938154,all,3,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5058838920,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5052602817,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5101667014,all,4,2021,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5018869966,all,5,2022,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5101593845,all,7,2020,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5028507019,all,5,2021,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011174551,A5017051670,all,13,2015,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5100380876,all,4,2018,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5013823921,all,7,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5022448366,all,23,2019,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5031068192,all,9,2013,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5020433927,all,5,2018,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5038321538,all,6,2018,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5039165896,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5060670063,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5016338335,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011272746,A5043815269,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5036203067,all,11,2019,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5101966875,all,11,2019,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5044769724,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5019834339,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5045748813,all,2,2024,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5110118275,all,3,2019,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
